Region/Country/Area,Population density and surface area,Year,Series,Value
15,Northern Africa,2010,Population density,27.4
15,Northern Africa,2015,Population mid-year estimates (millions),232.67
15,Northern Africa,2015,Population mid-year estimates for males (millions),117.41
15,Northern Africa,2015,Population mid-year estimates for females (millions),115.26
15,Northern Africa,2015,Sex ratio (males per 100 females),101.9
15,Northern Africa,2015,Population aged 0 to 14 years old (percentage),33.4
15,Northern Africa,2015,Population aged 60+ years old (percentage),7.2
15,Northern Africa,2015,Population density,30.3
15,Northern Africa,2022,Population mid-year estimates (millions),264.72
15,Northern Africa,2022,Population mid-year estimates for males (millions),133.40
15,Northern Africa,2022,Population mid-year estimates for females (millions),131.32
15,Northern Africa,2022,Sex ratio (males per 100 females),101.6
15,Northern Africa,2022,Population aged 0 to 14 years old (percentage),32.6
15,Northern Africa,2022,Population aged 60+ years old (percentage),8.4
15,Northern Africa,2022,Population density,34.4
15,Northern Africa,2022,Surface area (thousand km2),"7,769"
15,Northern Africa,2024,Population mid-year estimates (millions),272.13
15,Northern Africa,2024,Population mid-year estimates for males (millions),137.08
15,Northern Africa,2024,Population mid-year estimates for females (millions),135.06
15,Northern Africa,2024,Sex ratio (males per 100 females),101.5
15,Northern Africa,2024,Population aged 0 to 14 years old (percentage),31.9
15,Northern Africa,2024,Population aged 60+ years old (percentage),8.8
15,Northern Africa,2024,Population density,35.4
202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),861.28
202,Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),427.75
202,Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),433.52
202,Sub-Saharan Africa,2010,Sex ratio (males per 100 females),98.7
202,Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.9
202,Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.6
202,Sub-Saharan Africa,2010,Population density,39.4
202,Sub-Saharan Africa,2015,Population mid-year estimates (millions),987.41
202,Sub-Saharan Africa,2015,Population mid-year estimates for males (millions),491.50
202,Sub-Saharan Africa,2015,Population mid-year estimates for females (millions),495.91
202,Sub-Saharan Africa,2015,Sex ratio (males per 100 females),99.1
202,Sub-Saharan Africa,2015,Population aged 0 to 14 years old (percentage),43.2
202,Sub-Saharan Africa,2015,Population aged 60+ years old (percentage),4.7
202,Sub-Saharan Africa,2015,Population density,45.2
202,Sub-Saharan Africa,2022,Population mid-year estimates (millions),"1,182.16"
202,Sub-Saharan Africa,2022,Population mid-year estimates for males (millions),589.24
202,Sub-Saharan Africa,2022,Population mid-year estimates for females (millions),592.92
202,Sub-Saharan Africa,2022,Sex ratio (males per 100 females),99.4
202,Sub-Saharan Africa,2022,Population aged 0 to 14 years old (percentage),41.4
202,Sub-Saharan Africa,2022,Population aged 60+ years old (percentage),4.9
202,Sub-Saharan Africa,2022,Population density,54.1
202,Sub-Saharan Africa,2022,Surface area (thousand km2),"21,879"
202,Sub-Saharan Africa,2024,Population mid-year estimates (millions),"1,243.01"
202,Sub-Saharan Africa,2024,Population mid-year estimates for males (millions),619.74
202,Sub-Saharan Africa,2024,Population mid-year estimates for females (millions),623.27
202,Sub-Saharan Africa,2024,Sex ratio (males per 100 females),99.4
202,Sub-Saharan Africa,2024,Population aged 0 to 14 years old (percentage),40.7
202,Sub-Saharan Africa,2024,Population aged 60+ years old (percentage),5.0
202,Sub-Saharan Africa,2024,Population density,56.8
14,Eastern Africa,2010,Population mid-year estimates (millions),345.28
14,Eastern Africa,2010,Population mid-year estimates for males (millions),170.79
14,Eastern Africa,2010,Population mid-year estimates for females (millions),174.49
14,Eastern Africa,2010,Sex ratio (males per 100 females),97.9
14,Eastern Africa,2010,Population aged 0 to 14 years old (percentage),45.3
14,Eastern Africa,2010,Population aged 60+ years old (percentage),4.1
14,Eastern Africa,2010,Population density,51.9
14,Eastern Africa,2015,Population mid-year estimates (millions),395.33
14,Eastern Africa,2015,Population mid-year estimates for males (millions),195.77
14,Eastern Africa,2015,Population mid-year estimates for females (millions),199.57
14,Eastern Africa,2015,Sex ratio (males per 100 females),98.1
14,Eastern Africa,2015,Population aged 0 to 14 years old (percentage),43.9
14,Eastern Africa,2015,Population aged 60+ years old (percentage),4.3
14,Eastern Africa,2015,Population density,59.4
14,Eastern Africa,2022,Population mid-year estimates (millions),475.30
14,Eastern Africa,2022,Population mid-year estimates for males (millions),235.62
14,Eastern Africa,2022,Population mid-year estimates for females (millions),239.68
14,Eastern Africa,2022,Sex ratio (males per 100 females),98.3
14,Eastern Africa,2022,Population aged 0 to 14 years old (percentage),41.4
14,Eastern Africa,2022,Population aged 60+ years old (percentage),4.6
14,Eastern Africa,2022,Population density,71.4
14,Eastern Africa,2022,Surface area (thousand km2),"6,667"
14,Eastern Africa,2024,Population mid-year estimates (millions),500.70
14,Eastern Africa,2024,Population mid-year estimates for males (millions),248.26
14,Eastern Africa,2024,Population mid-year estimates for females (millions),252.44
14,Eastern Africa,2024,Sex ratio (males per 100 females),98.3
14,Eastern Africa,2024,Population aged 0 to 14 years old (percentage),40.6
14,Eastern Africa,2024,Population aged 60+ years old (percentage),4.7
14,Eastern Africa,2024,Population density,75.3
17,Middle Africa,2010,Population mid-year estimates (millions),135.88
17,Middle Africa,2010,Population mid-year estimates for males (millions),67.42
17,Middle Africa,2010,Population mid-year estimates for females (millions),68.46
17,Middle Africa,2010,Sex ratio (males per 100 females),98.5
17,Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.4
17,Middle Africa,2010,Population aged 60+ years old (percentage),4.6
17,Middle Africa,2010,Population density,20.9
17,Middle Africa,2015,Population mid-year estimates (millions),160.03
17,Middle Africa,2015,Population mid-year estimates for males (millions),79.49
17,Middle Africa,2015,Population mid-year estimates for females (millions),80.53
17,Middle Africa,2015,Sex ratio (males per 100 females),98.7
17,Middle Africa,2015,Population aged 0 to 14 years old (percentage),45.5
17,Middle Africa,2015,Population aged 60+ years old (percentage),4.5
17,Middle Africa,2015,Population density,24.7
17,Middle Africa,2022,Population mid-year estimates (millions),199.71
17,Middle Africa,2022,Population mid-year estimates for males (millions),99.23
17,Middle Africa,2022,Population mid-year estimates for females (millions),100.48
17,Middle Africa,2022,Sex ratio (males per 100 females),98.8
17,Middle Africa,2022,Population aged 0 to 14 years old (percentage),45.2
17,Middle Africa,2022,Population aged 60+ years old (percentage),4.6
17,Middle Africa,2022,Population density,30.8
17,Middle Africa,2022,Surface area (thousand km2),"6,497"
17,Middle Africa,2024,Population mid-year estimates (millions),212.92
17,Middle Africa,2024,Population mid-year estimates for males (millions),105.79
17,Middle Africa,2024,Population mid-year estimates for females (millions),107.13
17,Middle Africa,2024,Sex ratio (males per 100 females),98.7
17,Middle Africa,2024,Population aged 0 to 14 years old (percentage),44.8
17,Middle Africa,2024,Population aged 60+ years old (percentage),4.6
17,Middle Africa,2024,Population density,32.8
18,Southern Africa,2010,Population mid-year estimates (millions),59.59
18,Southern Africa,2010,Population mid-year estimates for males (millions),28.71
18,Southern Africa,2010,Population mid-year estimates for females (millions),30.88
18,Southern Africa,2010,Sex ratio (males per 100 females),93.0
18,Southern Africa,2010,Population aged 0 to 14 years old (percentage),30.2
18,Southern Africa,2010,Population aged 60+ years old (percentage),7.3
18,Southern Africa,2010,Population density,22.4
18,Southern Africa,2015,Population mid-year estimates (millions),64.55
18,Southern Africa,2015,Population mid-year estimates for males (millions),31.36
18,Southern Africa,2015,Population mid-year estimates for females (millions),33.19
18,Southern Africa,2015,Sex ratio (males per 100 females),94.5
18,Southern Africa,2015,Population aged 0 to 14 years old (percentage),29.2
18,Southern Africa,2015,Population aged 60+ years old (percentage),7.7
18,Southern Africa,2015,Population density,24.3
18,Southern Africa,2022,Population mid-year estimates (millions),71.21
18,Southern Africa,2022,Population mid-year estimates for males (millions),34.65
18,Southern Africa,2022,Population mid-year estimates for females (millions),36.57
18,Southern Africa,2022,Sex ratio (males per 100 females),94.7
18,Southern Africa,2022,Population aged 0 to 14 years old (percentage),27.4
18,Southern Africa,2022,Population aged 60+ years old (percentage),9.3
18,Southern Africa,2022,Population density,26.8
18,Southern Africa,2022,Surface area (thousand km2),"2,651"
18,Southern Africa,2024,Population mid-year estimates (millions),73.14
18,Southern Africa,2024,Population mid-year estimates for males (millions),35.64
18,Southern Africa,2024,Population mid-year estimates for females (millions),37.50
18,Southern Africa,2024,Sex ratio (males per 100 females),95.0
18,Southern Africa,2024,Population aged 0 to 14 years old (percentage),27.0
18,Southern Africa,2024,Population aged 60+ years old (percentage),9.6
18,Southern Africa,2024,Population density,27.5
11,Western Africa,2010,Population mid-year estimates (millions),320.52
11,Western Africa,2010,Population mid-year estimates for males (millions),160.83
11,Western Africa,2010,Population mid-year estimates for females (millions),159.68
11,Western Africa,2010,Sex ratio (males per 100 females),100.7
11,Western Africa,2010,Population aged 0 to 14 years old (percentage),44.2
11,Western Africa,2010,Population aged 60+ years old (percentage),4.7
11,Western Africa,2010,Population density,52.9
11,Western Africa,2015,Population mid-year estimates (millions),367.50
11,Western Africa,2015,Population mid-year estimates for males (millions),184.88
11,Western Africa,2015,Population mid-year estimates for females (millions),182.62
11,Western Africa,2015,Sex ratio (males per 100 females),101.2
11,Western Africa,2015,Population aged 0 to 14 years old (percentage),43.9
11,Western Africa,2015,Population aged 60+ years old (percentage),4.6
11,Western Africa,2015,Population density,60.6
11,Western Africa,2022,Population mid-year estimates (millions),435.94
11,Western Africa,2022,Population mid-year estimates for males (millions),219.75
11,Western Africa,2022,Population mid-year estimates for females (millions),216.19
11,Western Africa,2022,Sex ratio (males per 100 females),101.6
11,Western Africa,2022,Population aged 0 to 14 years old (percentage),41.9
11,Western Africa,2022,Population aged 60+ years old (percentage),4.8
11,Western Africa,2022,Population density,71.9
11,Western Africa,2022,Surface area (thousand km2),"6,064"
11,Western Africa,2024,Population mid-year estimates (millions),456.25
11,Western Africa,2024,Population mid-year estimates for males (millions),230.05
11,Western Africa,2024,Population mid-year estimates for females (millions),226.20
11,Western Africa,2024,Sex ratio (males per 100 females),101.7
11,Western Africa,2024,Population aged 0 to 14 years old (percentage),41.0
11,Western Africa,2024,Population aged 60+ years old (percentage),4.9
11,Western Africa,2024,Population density,75.2
19,Americas,2010,Population mid-year estimates (millions),934.29
19,Americas,2010,Population mid-year estimates for males (millions),463.33
19,Americas,2010,Population mid-year estimates for females (millions),470.96
19,Americas,2010,Sex ratio (males per 100 females),98.4
19,Americas,2010,Population aged 0 to 14 years old (percentage),24.6
19,Americas,2010,Population aged 60+ years old (percentage),13.1
19,Americas,2010,Population density,24.0
19,Americas,2015,Population mid-year estimates (millions),982.26
19,Americas,2015,Population mid-year estimates for males (millions),487.53
19,Americas,2015,Population mid-year estimates for females (millions),494.73
19,Americas,2015,Sex ratio (males per 100 females),98.5
19,Americas,2015,Population aged 0 to 14 years old (percentage),23.2
19,Americas,2015,Population aged 60+ years old (percentage),14.6
19,Americas,2015,Population density,25.2
19,Americas,2022,Population mid-year estimates (millions),"1,034.85"
19,Americas,2022,Population mid-year estimates for males (millions),513.22
19,Americas,2022,Population mid-year estimates for females (millions),521.63
19,Americas,2022,Sex ratio (males per 100 females),98.4
19,Americas,2022,Population aged 0 to 14 years old (percentage),21.2
19,Americas,2022,Population aged 60+ years old (percentage),17.2
19,Americas,2022,Population density,26.6
19,Americas,2022,Surface area (thousand km2),"38,791"
19,Americas,2024,Population mid-year estimates (millions),"1,048.76"
19,Americas,2024,Population mid-year estimates for males (millions),519.87
19,Americas,2024,Population mid-year estimates for females (millions),528.89
19,Americas,2024,Sex ratio (males per 100 females),98.3
19,Americas,2024,Population aged 0 to 14 years old (percentage),20.5
19,Americas,2024,Population aged 60+ years old (percentage),18.0
19,Americas,2024,Population density,26.9
21,Northern America,2010,Population mid-year estimates (millions),345.39
21,Northern America,2010,Population mid-year estimates for males (millions),172.16
21,Northern America,2010,Population mid-year estimates for females (millions),173.22
21,Northern America,2010,Sex ratio (males per 100 females),99.4
21,Northern America,2010,Population aged 0 to 14 years old (percentage),19.4
21,Northern America,2010,Population aged 60+ years old (percentage),18.4
21,Northern America,2010,Population density,18.5
21,Northern America,2015,Population mid-year estimates (millions),362.21
21,Northern America,2015,Population mid-year estimates for males (millions),181.36
21,Northern America,2015,Population mid-year estimates for females (millions),180.86
21,Northern America,2015,Sex ratio (males per 100 females),100.3
21,Northern America,2015,Population aged 0 to 14 years old (percentage),18.9
21,Northern America,2015,Population aged 60+ years old (percentage),20.4
21,Northern America,2015,Population density,19.4
21,Northern America,2022,Population mid-year estimates (millions),380.48
21,Northern America,2022,Population mid-year estimates for males (millions),191.02
21,Northern America,2022,Population mid-year estimates for females (millions),189.46
21,Northern America,2022,Sex ratio (males per 100 females),100.8
21,Northern America,2022,Population aged 0 to 14 years old (percentage),17.6
21,Northern America,2022,Population aged 60+ years old (percentage),23.5
21,Northern America,2022,Population density,20.4
21,Northern America,2022,Surface area (thousand km2),"18,652"
21,Northern America,2024,Population mid-year estimates (millions),385.30
21,Northern America,2024,Population mid-year estimates for males (millions),193.35
21,Northern America,2024,Population mid-year estimates for females (millions),191.94
21,Northern America,2024,Sex ratio (males per 100 females),100.7
21,Northern America,2024,Population aged 0 to 14 years old (percentage),17.1
21,Northern America,2024,Population aged 60+ years old (percentage),24.5
21,Northern America,2024,Population density,20.7
419,Latin America & the Caribbean,2010,Population mid-year estimates (millions),588.91
419,Latin America & the Caribbean,2010,Population mid-year estimates for males (millions),291.17
419,Latin America & the Caribbean,2010,Population mid-year estimates for females (millions),297.74
419,Latin America & the Caribbean,2010,Sex ratio (males per 100 females),97.8
419,Latin America & the Caribbean,2010,Population aged 0 to 14 years old (percentage),27.6
419,Latin America & the Caribbean,2010,Population aged 60+ years old (percentage),9.9
419,Latin America & the Caribbean,2010,Population density,29.1
419,Latin America & the Caribbean,2015,Population mid-year estimates (millions),620.04
419,Latin America & the Caribbean,2015,Population mid-year estimates for males (millions),306.17
419,Latin America & the Caribbean,2015,Population mid-year estimates for females (millions),313.87
419,Latin America & the Caribbean,2015,Sex ratio (males per 100 females),97.5
419,Latin America & the Caribbean,2015,Population aged 0 to 14 years old (percentage),25.7
419,Latin America & the Caribbean,2015,Population aged 60+ years old (percentage),11.3
419,Latin America & the Caribbean,2015,Population density,30.6
419,Latin America & the Caribbean,2022,Population mid-year estimates (millions),654.37
419,Latin America & the Caribbean,2022,Population mid-year estimates for males (millions),322.20
419,Latin America & the Caribbean,2022,Population mid-year estimates for females (millions),332.17
419,Latin America & the Caribbean,2022,Sex ratio (males per 100 females),97.0
419,Latin America & the Caribbean,2022,Population aged 0 to 14 years old (percentage),23.2
419,Latin America & the Caribbean,2022,Population aged 60+ years old (percentage),13.5
419,Latin America & the Caribbean,2022,Population density,32.3
419,Latin America & the Caribbean,2022,Surface area (thousand km2),"20,139"
419,Latin America & the Caribbean,2024,Population mid-year estimates (millions),663.47
419,Latin America & the Caribbean,2024,Population mid-year estimates for males (millions),326.52
419,Latin America & the Caribbean,2024,Population mid-year estimates for females (millions),336.94
419,Latin America & the Caribbean,2024,Sex ratio (males per 100 females),96.9
419,Latin America & the Caribbean,2024,Population aged 0 to 14 years old (percentage),22.5
419,Latin America & the Caribbean,2024,Population aged 60+ years old (percentage),14.3
419,Latin America & the Caribbean,2024,Population density,32.7
29,Caribbean,2010,Population mid-year estimates (millions),41.41
29,Caribbean,2010,Population mid-year estimates for males (millions),20.49
29,Caribbean,2010,Population mid-year estimates for females (millions),20.92
29,Caribbean,2010,Sex ratio (males per 100 females),97.9
29,Caribbean,2010,Population aged 0 to 14 years old (percentage),26.4
29,Caribbean,2010,Population aged 60+ years old (percentage),11.8
29,Caribbean,2010,Population density,186.9
29,Caribbean,2015,Population mid-year estimates (millions),42.67
29,Caribbean,2015,Population mid-year estimates for males (millions),21.08
29,Caribbean,2015,Population mid-year estimates for females (millions),21.59
29,Caribbean,2015,Sex ratio (males per 100 females),97.7
29,Caribbean,2015,Population aged 0 to 14 years old (percentage),24.8
29,Caribbean,2015,Population aged 60+ years old (percentage),13.1
29,Caribbean,2015,Population density,192.7
29,Caribbean,2022,Population mid-year estimates (millions),44.05
29,Caribbean,2022,Population mid-year estimates for males (millions),21.70
29,Caribbean,2022,Population mid-year estimates for females (millions),22.35
29,Caribbean,2022,Sex ratio (males per 100 females),97.1
29,Caribbean,2022,Population aged 0 to 14 years old (percentage),23.1
29,Caribbean,2022,Population aged 60+ years old (percentage),15.2
29,Caribbean,2022,Population density,198.9
29,Caribbean,2022,Surface area (thousand km2),226
29,Caribbean,2024,Population mid-year estimates (millions),44.44
29,Caribbean,2024,Population mid-year estimates for males (millions),21.87
29,Caribbean,2024,Population mid-year estimates for females (millions),22.57
29,Caribbean,2024,Sex ratio (males per 100 females),96.9
29,Caribbean,2024,Population aged 0 to 14 years old (percentage),22.5
29,Caribbean,2024,Population aged 60+ years old (percentage),16.1
29,Caribbean,2024,Population density,200.7
13,Central America,2010,Population mid-year estimates (millions),156.80
13,Central America,2010,Population mid-year estimates for males (millions),76.88
13,Central America,2010,Population mid-year estimates for females (millions),79.92
13,Central America,2010,Sex ratio (males per 100 females),96.2
13,Central America,2010,Population aged 0 to 14 years old (percentage),31.2
13,Central America,2010,Population aged 60+ years old (percentage),8.3
13,Central America,2010,Population density,63.6
13,Central America,2015,Population mid-year estimates (millions),167.75
13,Central America,2015,Population mid-year estimates for males (millions),82.17
13,Central America,2015,Population mid-year estimates for females (millions),85.58
13,Central America,2015,Sex ratio (males per 100 females),96.0
13,Central America,2015,Population aged 0 to 14 years old (percentage),29.2
13,Central America,2015,Population aged 60+ years old (percentage),9.2
13,Central America,2015,Population density,68.1
13,Central America,2022,Population mid-year estimates (millions),179.82
13,Central America,2022,Population mid-year estimates for males (millions),87.73
13,Central America,2022,Population mid-year estimates for females (millions),92.09
13,Central America,2022,Sex ratio (males per 100 females),95.3
13,Central America,2022,Population aged 0 to 14 years old (percentage),26.4
13,Central America,2022,Population aged 60+ years old (percentage),10.8
13,Central America,2022,Population density,73.0
13,Central America,2022,Surface area (thousand km2),"2,452"
13,Central America,2024,Population mid-year estimates (millions),183.41
13,Central America,2024,Population mid-year estimates for males (millions),89.45
13,Central America,2024,Population mid-year estimates for females (millions),93.96
13,Central America,2024,Sex ratio (males per 100 females),95.2
13,Central America,2024,Population aged 0 to 14 years old (percentage),25.6
13,Central America,2024,Population aged 60+ years old (percentage),11.4
13,Central America,2024,Population density,74.4
5,South America,2010,Population mid-year estimates (millions),390.70
5,South America,2010,Population mid-year estimates for males (millions),193.80
5,South America,2010,Population mid-year estimates for females (millions),196.90
5,South America,2010,Sex ratio (males per 100 females),98.4
5,South America,2010,Population aged 0 to 14 years old (percentage),26.3
5,South America,2010,Population aged 60+ years old (percentage),10.4
5,South America,2010,Population density,22.2
5,South America,2015,Population mid-year estimates (millions),409.62
5,South America,2015,Population mid-year estimates for males (millions),202.92
5,South America,2015,Population mid-year estimates for females (millions),206.70
5,South America,2015,Sex ratio (males per 100 females),98.2
5,South America,2015,Population aged 0 to 14 years old (percentage),24.3
5,South America,2015,Population aged 60+ years old (percentage),12.0
5,South America,2015,Population density,23.3
5,South America,2022,Population mid-year estimates (millions),430.49
5,South America,2022,Population mid-year estimates for males (millions),212.77
5,South America,2022,Population mid-year estimates for females (millions),217.73
5,South America,2022,Sex ratio (males per 100 females),97.7
5,South America,2022,Population aged 0 to 14 years old (percentage),21.9
5,South America,2022,Population aged 60+ years old (percentage),14.5
5,South America,2022,Population density,24.5
5,South America,2022,Surface area (thousand km2),"17,461"
5,South America,2024,Population mid-year estimates (millions),435.61
5,South America,2024,Population mid-year estimates for males (millions),215.19
5,South America,2024,Population mid-year estimates for females (millions),220.42
5,South America,2024,Sex ratio (males per 100 females),97.6
5,South America,2024,Population aged 0 to 14 years old (percentage),21.2
5,South America,2024,Population aged 60+ years old (percentage),15.3
5,South America,2024,Population density,24.8
142,Asia,2010,Population mid-year estimates (millions),"4,239.82"
142,Asia,2010,Population mid-year estimates for males (millions),"2,162.21"
142,Asia,2010,Population mid-year estimates for females (millions),"2,077.61"
142,Asia,2010,Sex ratio (males per 100 females),104.1
142,Asia,2010,Population aged 0 to 14 years old (percentage),26.2
142,Asia,2010,Population aged 60+ years old (percentage),10.1
142,Asia,2010,Population density,135.2
142,Asia,2015,Population mid-year estimates (millions),"4,483.31"
142,Asia,2015,Population mid-year estimates for males (millions),"2,286.12"
142,Asia,2015,Population mid-year estimates for females (millions),"2,197.19"
142,Asia,2015,Sex ratio (males per 100 females),104.0
142,Asia,2015,Population aged 0 to 14 years old (percentage),25.2
142,Asia,2015,Population aged 60+ years old (percentage),11.6
142,Asia,2015,Population density,142.9
142,Asia,2022,Population mid-year estimates (millions),"4,747.66"
142,Asia,2022,Population mid-year estimates for males (millions),"2,415.86"
142,Asia,2022,Population mid-year estimates for females (millions),"2,331.80"
142,Asia,2022,Sex ratio (males per 100 females),103.6
142,Asia,2022,Population aged 0 to 14 years old (percentage),23.4
142,Asia,2022,Population aged 60+ years old (percentage),13.6
142,Asia,2022,Population density,151.4
142,Asia,2022,Surface area (thousand km2),"31,033"
142,Asia,2024,Population mid-year estimates (millions),"4,806.90"
142,Asia,2024,Population mid-year estimates for males (millions),"2,443.96"
142,Asia,2024,Population mid-year estimates for females (millions),"2,362.94"
142,Asia,2024,Sex ratio (males per 100 females),103.4
142,Asia,2024,Population aged 0 to 14 years old (percentage),22.6
142,Asia,2024,Population aged 60+ years old (percentage),14.5
142,Asia,2024,Population density,153.3
143,Central Asia,2010,Population mid-year estimates (millions),63.93
143,Central Asia,2010,Population mid-year estimates for males (millions),31.47
143,Central Asia,2010,Population mid-year estimates for females (millions),32.46
143,Central Asia,2010,Sex ratio (males per 100 females),96.9
143,Central Asia,2010,Population aged 0 to 14 years old (percentage),29.2
143,Central Asia,2010,Population aged 60+ years old (percentage),7.1
143,Central Asia,2010,Population density,16.3
143,Central Asia,2015,Population mid-year estimates (millions),69.70
143,Central Asia,2015,Population mid-year estimates for males (millions),34.39
143,Central Asia,2015,Population mid-year estimates for females (millions),35.30
143,Central Asia,2015,Sex ratio (males per 100 females),97.4
143,Central Asia,2015,Population aged 0 to 14 years old (percentage),29.6
143,Central Asia,2015,Population aged 60+ years old (percentage),7.9
143,Central Asia,2015,Population density,17.7
143,Central Asia,2024,Population mid-year estimates (millions),82.23
143,Central Asia,2024,Population mid-year estimates for males (millions),40.81
143,Central Asia,2024,Population mid-year estimates for females (millions),41.42
143,Central Asia,2024,Sex ratio (males per 100 females),98.5
143,Central Asia,2024,Population aged 0 to 14 years old (percentage),31.5
143,Central Asia,2024,Population aged 60+ years old (percentage),9.9
143,Central Asia,2024,Population density,20.9
30,Eastern Asia,2010,Population mid-year estimates (millions),"1,587.09"
30,Eastern Asia,2010,Population mid-year estimates for males (millions),807.83
30,Eastern Asia,2010,Population mid-year estimates for females (millions),779.26
30,Eastern Asia,2010,Sex ratio (males per 100 females),103.7
30,Eastern Asia,2010,Population aged 0 to 14 years old (percentage),18.0
30,Eastern Asia,2010,Population aged 60+ years old (percentage),14.4
30,Eastern Asia,2010,Population density,134.6
30,Eastern Asia,2015,Population mid-year estimates (millions),"1,634.46"
30,Eastern Asia,2015,Population mid-year estimates for males (millions),831.54
30,Eastern Asia,2015,Population mid-year estimates for females (millions),802.93
30,Eastern Asia,2015,Sex ratio (males per 100 females),103.6
30,Eastern Asia,2015,Population aged 0 to 14 years old (percentage),17.7
30,Eastern Asia,2015,Population aged 60+ years old (percentage),17.1
30,Eastern Asia,2015,Population density,138.6
30,Eastern Asia,2022,Population mid-year estimates (millions),"1,663.26"
30,Eastern Asia,2022,Population mid-year estimates for males (millions),843.96
30,Eastern Asia,2022,Population mid-year estimates for females (millions),819.30
30,Eastern Asia,2022,Sex ratio (males per 100 females),103.0
